IP_Address	Date_Time	Request_Method	Requested_Resource	Status_Code	Bytes_Sent
102.23.245.50	05/Nov/2019:19:06:22	GET	/	301	184
66.249.75.38	05/Nov/2019:19:20:35	GET	/2019/07/15/java-heap-dump-analysis/	200	5556
46.229.168.142	05/Nov/2019:19:29:36	GET	/robots.txt	200	72
46.229.168.140	05/Nov/2019:19:29:37	GET	/2018/07/31/test-in-multiple-environments-using-pyenv-and-tox/	200	6013
67.212.187.106	05/Nov/2019:19:31:22	GET	/	301	184
67.212.187.106	05/Nov/2019:19:31:22	GET	/	200	3835
67.212.187.106	05/Nov/2019:19:31:24	GET	/	200	14299
67.212.187.106	05/Nov/2019:19:31:24	GET	/	200	14299
67.212.187.106	05/Nov/2019:19:31:25	GET	/	301	184
67.212.187.106	05/Nov/2019:19:31:26	GET	/	200	14299
17.58.102.34	05/Nov/2019:19:31:26	GET	/author/jupiny/	200	3599
66.249.84.58	05/Nov/2019:19:31:29	GET	/	301	184
66.249.84.38	05/Nov/2019:19:31:30	GET	/	200	3835
64.233.172.8	05/Nov/2019:19:31:30	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
64.233.172.6	05/Nov/2019:19:31:30	GET	/assets/js/index.js?v=6ea3fea03b	200	651
64.233.172.10	05/Nov/2019:19:31:30	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
64.233.172.8	05/Nov/2019:19:31:31	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
66.102.8.247	05/Nov/2019:19:31:36	GET	/	301	184
66.102.8.233	05/Nov/2019:19:31:37	GET	/	200	3835
66.102.8.231	05/Nov/2019:19:31:38	GET	/assets/css/screen.css?v=6ea3fea03b	200	9992
66.102.8.229	05/Nov/2019:19:31:38	GET	/assets/js/index.js?v=6ea3fea03b	200	651
66.102.8.229	05/Nov/2019:19:31:38	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
66.102.8.229	05/Nov/2019:19:31:38	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
66.102.8.229	05/Nov/2019:19:31:41	GET	/	200	3835
66.102.8.247	05/Nov/2019:19:31:45	GET	/	301	184
66.102.8.231	05/Nov/2019:19:31:46	GET	/	200	3835
66.102.8.231	05/Nov/2019:19:31:46	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
66.102.8.233	05/Nov/2019:19:31:47	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
66.102.8.229	05/Nov/2019:19:31:47	GET	/assets/js/index.js?v=6ea3fea03b	200	651
66.102.8.229	05/Nov/2019:19:31:47	GET	/assets/fonts/casper-icons.woff?v=1	200	2580
66.102.8.233	05/Nov/2019:19:31:49	GET	/	200	3835
178.236.120.32	05/Nov/2019:19:32:46	GET	/	301	184
66.249.83.83	05/Nov/2019:19:33:44	GET	/	301	184
66.249.83.86	05/Nov/2019:19:33:45	GET	/	200	3835
66.249.83.86	05/Nov/2019:19:33:45	GET	/favicon.ico	200	91
75.11.32.88	05/Nov/2019:19:34:40	GET	/favicon.ico	200	91
54.162.102.36	05/Nov/2019:19:36:48	GET	/robots.txt	200	72
54.162.102.36	05/Nov/2019:19:37:20	GET	/ads.txt	200	59
23.100.232.233	05/Nov/2019:19:37:54	GET	/2017/07/09/linux-command-1-grep-less-head-tail/	200	4655
23.100.232.233	05/Nov/2019:19:37:56	GET	/assets/css/screen.css?v=6ea3fea03b	200	9999
23.100.232.233	05/Nov/2019:19:37:56	GET	/assets/js/index.js?v=6ea3fea03b	200	651
23.100.232.233	05/Nov/2019:19:37:56	GET	/assets/js/jquery.fitvids.js?v=6ea3fea03b	200	1198
114.103.168.148	05/Nov/2019:19:43:44	GET	/2016/12/12/sort-korean-in-postgresql	301	5
114.103.168.148	05/Nov/2019:19:43:47	GET	/2016/12/12/sort-korean-in-postgresql/	200	5625
112.231.144.177	05/Nov/2019:19:43:47	GET	/page/2	301	5
112.231.144.177	05/Nov/2019:19:43:48	GET	/page/2/	200	3332
1.180.167.73	05/Nov/2019:19:43:49	GET	/tag/python	301	5
49.82.28.2	05/Nov/2019:19:43:49	GET	/tag/django	301	5
1.180.167.73	05/Nov/2019:19:43:50	GET	/tag/python/	200	3625
60.188.42.241	05/Nov/2019:19:43:51	GET	/author/jupiny	301	5
119.5.144.93	05/Nov/2019:19:43:53	GET	/2016/10/05/ci-github-slack	301	5
60.188.42.241	05/Nov/2019:19:43:53	GET	/author/jupiny/	200	3599
115.85.206.247	05/Nov/2019:19:43:54	GET	/tag/linux	301	5
119.5.144.93	05/Nov/2019:19:43:55	GET	/2016/10/05/ci-github-slack/	200	4710
117.37.72.56	05/Nov/2019:19:43:55	GET	/tag/docker/	200	2715
115.85.206.247	05/Nov/2019:19:43:58	GET	/tag/linux/	200	3079
112.195.201.158	05/Nov/2019:19:43:59	GET	/2017/03/28/paging-segmentation	301	5
140.224.98.226	05/Nov/2019:19:44:01	GET	/tag/django/	200	3560
114.106.150.101	05/Nov/2019:19:44:02	GET	/2017/07/09/search-command-history-on-linux	301	5
60.183.109.44	05/Nov/2019:19:44:03	GET	/2017/11/07/docker-mysql-replicaiton	301	5
112.195.201.158	05/Nov/2019:19:44:03	GET	/2017/03/28/paging-segmentation/	200	4531
60.183.109.44	05/Nov/2019:19:44:07	GET	/2017/11/07/docker-mysql-replicaiton/	200	6939
114.106.150.101	05/Nov/2019:19:44:11	GET	/2017/07/09/search-command-history-on-linux/	200	4735
117.57.85.17	05/Nov/2019:19:44:12	GET	/tag/html	301	5
117.57.85.17	05/Nov/2019:19:44:15	GET	/tag/html/	200	2372
123.156.182.82	05/Nov/2019:19:44:32	GET	/2016/11/13/conrtrol-container-startup-order-in-compose	301	5
123.156.182.82	05/Nov/2019:19:44:34	GET	/2016/11/13/conrtrol-container-startup-order-in-compose/	200	7115
113.121.45.236	05/Nov/2019:19:44:42	GET	/2018/11/30/mysql-transaction-isolation-levels	301	5
113.121.45.236	05/Nov/2019:19:44:45	GET	/2018/11/30/mysql-transaction-isolation-levels/	200	7065
114.106.150.12	05/Nov/2019:19:44:54	GET	/2016/11/13/conrtrol-container-startup-order-in-compose/	200	7115
60.8.196.162	05/Nov/2019:19:44:55	GET	/rss	301	5
60.8.196.162	05/Nov/2019:19:44:56	GET	/rss/	200	33378
46.229.168.153	05/Nov/2019:19:53:22	GET	/robots.txt	200	72
46.229.168.130	05/Nov/2019:19:53:24	GET	/2017/07/09/linux-command-4-cut-sort-uniq-wc/	200	5374
106.38.241.114	05/Nov/2019:19:57:21	GET	/robots.txt	400	270
106.38.241.114	05/Nov/2019:19:57:23	GET	/	200	3835
5.189.142.121	05/Nov/2019:19:57:24	GET	/	301	184
77.75.76.170	05/Nov/2019:20:00:28	GET	/robots.txt	200	72
77.75.76.170	05/Nov/2019:20:00:31	GET	/2018/02/27/caching-using-redis-on-django/	200	7060
121.134.136.92	05/Nov/2019:20:00:45	GET	/2017/07/10/shell-script-basic-5/	200	5014
